Ano,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,Pedra,Defasagem,Fase,Genero,Idade,Ano_Ingresso,Aluno_ID,Ponto_Virada
2022,5.718,5.0,16.0,6.1,8.3,7.5,7.003763103368083,6.167,Quartzo,-1,5.0,Masculino,16.0,2018,RA-69,Não
2022,5.712,5.0,16.0,6.6,8.8,5.0,7.023367493190668,6.111,Quartzo,-1,5.0,Feminino,16.0,2017,RA-70,Não
2022,4.332,5.0,17.0,2.0,7.9,7.5,6.8648136636877215,5.833,Quartzo,-2,5.0,Feminino,17.0,2019,RA-71,Não
2022,7.64,5.0,17.0,7.5,8.3,7.5,7.84761299204111,8.667,Ametista,-2,5.0,Feminino,17.0,2022,RA-72,Sim
2022,5.271,5.0,17.0,3.0,7.1,7.5,6.9026674862967,7.278,Quartzo,-2,5.0,Feminino,17.0,2022,RA-73,Não
2022,4.989,5.0,16.0,3.3,9.6,7.5,6.770741933308589,5.833,Quartzo,-1,5.0,Masculino,16.0,2022,RA-74,Não
2022,3.915,5.0,16.0,3.8,5.4,6.3,6.715231226124788,4.625,Quartzo,-1,5.0,Feminino,16.0,2022,RA-75,Não
2022,9.105,10.0,15.0,9.1,10.0,8.1,8.339236931692696,9.292,Topázio,0,5.0,Feminino,15.0,2017,RA-76,Sim
2022,3.846,5.0,16.0,2.7,7.1,5.0,6.747869790592419,4.625,Quartzo,-1,5.0,Masculino,16.0,2019,RA-77,Não
2022,7.04,5.0,17.0,6.6,8.3,5.6,7.577431917075053,8.0,Ametista,-2,5.0,Masculino,17.0,2018,RA-78,Não
2022,6.847,5.0,16.0,6.3,5.4,5.6,7.179097434968202,7.292,Ágata,-1,5.0,Feminino,16.0,2018,RA-79,Não
2022,7.29,5.0,16.0,8.3,9.2,5.0,7.863481573575489,7.625,Ametista,-1,5.0,Feminino,16.0,2017,RA-80,Não
2022,7.675,10.0,14.0,9.2,9.2,5.0,7.450771793905769,7.458,Ametista,1,5.0,Feminino,14.0,2017,RA-81,Não
2022,6.596,5.0,17.0,6.8,8.8,7.5,6.950729938312168,6.417,Ágata,-2,5.0,Feminino,17.0,2022,RA-82,Não
2022,6.671,5.0,17.0,6.8,7.9,7.5,7.029941988988896,5.958,Ágata,-2,5.0,Feminino,17.0,2022,RA-83,Não
2022,6.682,5.0,17.0,8.8,7.1,5.0,7.321608490465888,6.75,Ágata,-2,5.0,Feminino,17.0,2018,RA-84,Não
2022,6.243,10.0,15.0,7.3,6.7,5.0,6.177594641296461,5.833,Ágata,0,5.0,Masculino,15.0,2022,RA-85,Não
2022,7.566,5.0,16.0,9.6,7.5,5.6,8.076383180151636,8.458,Ametista,-1,5.0,Masculino,16.0,2016,RA-86,Sim
2022,8.712,10.0,15.0,9.6,8.3,7.5,8.117282617591515,8.5,Topázio,0,5.0,Masculino,15.0,2021,RA-87,Sim
2022,7.498,5.0,17.0,9.2,7.1,5.6,7.993907656682384,9.208,Ametista,-2,5.0,Masculino,17.0,2021,RA-88,Sim
2022,7.323,5.0,16.0,7.8,9.6,7.5,7.018958352418671,8.0,Ametista,-1,5.0,Masculino,16.0,2021,RA-89,Não
2022,9.442,10.0,13.0,9.7,10.0,9.4,8.34733414374723,9.75,Topázio,2,5.0,Feminino,13.0,2019,RA-90,Sim
2022,6.645,5.0,16.0,5.7,9.2,5.6,7.003263987412846,7.125,Ágata,-1,5.0,Feminino,16.0,2016,RA-91,Não
2022,6.957,5.0,16.0,7.1,9.2,5.0,7.200961816030987,6.667,Ágata,-1,5.0,Feminino,16.0,2016,RA-92,Não
2022,8.941,10.0,15.0,9.7,8.3,8.1,7.832084011790825,9.083,Topázio,0,5.0,Feminino,15.0,2016,RA-93,Sim
2022,8.921,10.0,15.0,9.6,8.3,8.1,7.8192915530471305,9.583,Topázio,0,5.0,Feminino,15.0,2018,RA-94,Sim
2022,6.308,5.0,17.0,6.6,8.3,7.5,6.99919232518105,6.292,Ágata,-2,5.0,Feminino,17.0,2022,RA-95,Não
2022,7.54,5.0,16.0,7.8,9.2,6.9,7.875169829900821,8.5,Ametista,-1,5.0,Masculino,16.0,2021,RA-96,Sim
2022,7.468,10.0,15.0,8.8,7.5,5.0,7.419461713001452,6.292,Ametista,0,5.0,Feminino,15.0,2017,RA-97,Não
2022,9.354,10.0,15.0,10.0,8.8,9.4,8.291486178873711,9.667,Topázio,0,5.0,Feminino,15.0,2017,RA-98,Sim
2022,6.158,5.0,16.0,6.3,8.8,7.5,6.944283959566145,5.833,Ágata,-1,5.0,Masculino,16.0,2019,RA-99,Não
2022,7.618,10.0,13.0,7.8,8.8,5.0,7.740642214871212,7.25,Ametista,1,4.0,Feminino,13.0,2019,RA-100,Não
2022,7.305,5.0,15.0,8.3,7.9,7.5,7.153376185828031,6.833,Ametista,-1,4.0,Feminino,15.0,2021,RA-101,Não
2022,6.922,10.0,14.0,7.7,6.7,6.9,6.388407912727416,6.0,Ágata,0,4.0,Masculino,14.0,2019,RA-102,Não
2022,8.107,10.0,13.0,8.7,7.9,7.5,7.687614231215854,7.708,Topázio,1,4.0,Feminino,13.0,2020,RA-103,Não
2022,6.315,2.5,18.0,8.7,7.9,7.5,7.294211594028182,6.708,Ágata,-4,4.0,Masculino,18.0,2022,RA-104,Não
2022,6.846,2.5,17.0,8.2,7.9,5.6,7.649678460370495,7.417,Ágata,-3,4.0,Masculino,17.0,2016,RA-105,Não
2022,7.973,5.0,15.0,8.0,9.2,9.4,7.866292591513438,8.375,Ametista,-1,4.0,Feminino,15.0,2016,RA-106,Sim
2022,6.258,5.0,15.0,6.4,7.5,7.5,7.27214984474473,6.5,Ágata,-1,4.0,Feminino,15.0,2018,RA-107,Não
2022,5.547,2.5,17.0,7.7,4.6,5.0,7.312086953655412,6.125,Quartzo,-3,4.0,Feminino,17.0,2019,RA-108,Não
2022,8.512,5.0,16.0,10.0,8.8,8.8,7.944028388119541,8.667,Topázio,-2,4.0,Masculino,16.0,2021,RA-109,Sim
2022,8.15,10.0,14.0,9.7,9.2,5.6,7.70845964286838,8.0,Topázio,0,4.0,Masculino,14.0,2017,RA-110,Não
2022,8.646,10.0,13.0,9.4,7.5,8.1,8.514629353490099,8.667,Topázio,1,4.0,Feminino,13.0,2020,RA-111,Sim
2022,7.836,5.0,15.0,7.8,7.9,6.3,8.511595843523569,8.833,Ametista,-1,4.0,Feminino,15.0,2016,RA-112,Sim
2022,3.032,5.0,15.0,0.0,0.0,5.0,6.620591684629664,3.792,Quartzo,-1,4.0,Feminino,15.0,2017,RA-113,Não
2022,5.894,5.0,16.0,6.3,7.9,7.5,6.759229164713984,5.0,Quartzo,-2,4.0,Masculino,16.0,2022,RA-114,Não
2022,5.886,5.0,16.0,6.8,8.3,6.3,6.685360899269791,5.583,Quartzo,-2,4.0,Feminino,16.0,2019,RA-115,Não
2022,6.854,5.0,16.0,8.1,5.8,6.3,7.635607172986527,7.792,Ágata,-2,4.0,Feminino,16.0,2019,RA-116,Não
2022,6.685,5.0,15.0,6.3,7.9,6.9,7.66343244662225,7.417,Ágata,-1,4.0,Feminino,15.0,2022,RA-117,Não
